index,ch2,ch3,ch4
223,-314.861192,-245.699435,-74.394044
224,-122.468200,-118.422236,-400.000048
225,0.010538,-0.424004,-400.000048
226,20.237544,-2.121544,-400.000048
227,132.181326,32.426647,-400.000048
228,334.991638,265.695890,-15.441276
229,124.211040,121.059861,400.000000
230,0.384378,0.380707,400.000000
231,-2.992106,-0.079679,400.000000
232,-82.716618,-26.423887,400.000000
233,-314.810027,-244.939166,-72.318181
234,-123.459163,-119.304385,-400.000048
235,0.028610,-0.443029,-400.000048
236,20.735171,-2.162648,-400.000048
237,132.410065,31.570963,-400.000048
238,334.537927,264.253362,-18.272021
239,124.492374,121.246066,400.000000
240,0.391340,0.387955,400.000000
241,-2.822829,-0.079060,400.000000
242,-81.269322,-26.122049,400.000000
243,-313.506974,-244.004851,-70.770940
244,-123.182502,-118.995442,-400.000048
245,0.049973,-0.440311,-400.000048
246,20.870402,-2.144289,-400.000048
247,132.386128,31.354813,-400.000048
248,334.991590,264.493115,-19.001677
249,125.394073,122.139516,400.000000
250,0.412512,0.408793,400.000000
251,-2.937222,-0.078630,400.000000
252,-81.996260,-25.980047,400.000000
253,-314.409198,-244.222765,-70.690211
254,-124.250236,-120.020690,-400.000048
