sample_index,CH2,CH3,CH4
300,0.06038444961447117,0.3395600549598627,0.28396702030187393
301,0.056233793495712815,0.32758053952895777,0.2714227074788735
302,0.052154488797125885,0.3149515017997203,0.2585489210719771
303,0.04813340745511079,0.30179085703183933,0.24545099547559396
304,0.04410121819463513,0.28807724995550005,0.23217291997255787
305,0.04006450222690789,0.27382287420203805,0.21876955573034307
306,0.03613649335513477,0.2591902633618256,0.20531712621979273
307,0.032321038926912835,0.24427502351321784,0.19188653817293497
308,0.028390020880774088,0.2290371346037857,0.17849023807536485
309,0.024173177405448904,0.2135622231843624,0.16513816901342881
310,0.01969228493213796,0.19798002324527308,0.15182918760435318
311,0.01511881498977387,0.18233672008190838,0.13858534859200625
312,0.010549757135611522,0.16661899651428522,0.1254470411073048
313,0.005984444666534185,0.1507929972994803,0.11243140846306335
314,0.0015452030929865885,0.1350329725762471,0.09957097196841365
315,-0.0026499971866331194,0.11958227981683252,0.08692004438934924
316,-0.0065934623260522395,0.10458802349276272,0.07452874232050738
317,-0.010356494509859761,0.08999826259520273,0.06247162025993523
318,-0.013932289985765864,0.0757511787701292,0.05084378438579046
319,-0.01729414499402895,0.06182970823925888,0.0397282768908353
320,-0.020428135011304065,0.04828579237841673,0.02920141655924919
321,-0.02336522178983336,0.035256862661261226,0.019290360254494026
322,-0.026190249686280913,0.02281812330202735,0.01001291882677525
323,-0.02889959385851187,0.01103915864491674,0.0013962968155984197
324,-0.031484638567417914,-1.4193546838116597e-05,-0.006516446405961202
325,-0.033842767563486656,-0.010268500177210609,-0.01366437007308868
326,-0.03585588328159094,-0.019678189070294404,-0.02000689437386966
327,-0.03733162870699261,-0.027998744754941494,-0.025532240467989825
328,-0.038068300814929526,-0.03492713702458751,-0.030240192821403618
329,-0.03807219297327928,-0.04043158793125259,-0.034202872109384296
330,-0.037537694936163775,-0.044705182336471354,-0.037514548099632145
331,-0.036650009393556414,-0.048073123072961056,-0.040254684768099944
332,-0.03546683276370139,-0.050735409147495816,-0.04250105332239779
333,-0.03402068445950898,-0.05268723798578847,-0.0443108256062073
334,-0.03235457431228757,-0.05392200184689017,-0.04571265860150222
335,-0.03065147977024927,-0.05456824228330629,-0.046784538103894754
336,-0.029084714380475236,-0.05476860160796925,-0.04762433402459602
337,-0.027796406535990373,-0.054729992981215524,-0.04831866292026277
338,-0.026968103172785092,-0.0547838862586819,-0.048961746904841404
339,-0.026579140458425,-0.055034947083410855,-0.049543356904020494
340,-0.026495589827278548,-0.055406847318289584,-0.0500409614470268
341,-0.02655583436609199,-0.05566222408947263,-0.050396552377961715
342,-0.026658084337572337,-0.05564934086575836,-0.050559870149332775
343,-0.026769627822407625,-0.05545065631087035,-0.05050568917108631
344,-0.026906708188840424,-0.05527645552469283,-0.05026874613659625
345,-0.027012326609073996,-0.05516290990673619,-0.04987571919392435
346,-0.02695551090892482,-0.05499370512981229,-0.049309202894209446
347,-0.026693376642692234,-0.05466914805236305,-0.04855582106665162
348,-0.026163361882607292,-0.05400187560756161,-0.04758743943222478
349,-0.025314539529337,-0.05285517165546992,-0.04642620619979426
350,-0.024080946217139236,-0.05121684269156216,-0.04510545141446786
351,-0.022558457131547305,-0.04923263051157145,-0.04370158736726707
352,-0.020841898416760273,-0.047020790654431155,-0.0422575523802357
353,-0.018949706895716043,-0.04463404760446638,-0.040806318881125556
354,-0.01691497418906821,-0.04209968317725175,-0.03937973873371943
355,-0.014829411106464236,-0.03953901830177333,-0.03798021910724065
356,-0.012877711715227577,-0.03718706552564129,-0.036625831276879774
357,-0.011145070051268507,-0.03521848343158982,-0.03536297065183687
358,-0.009598265576272165,-0.03372932058409353,-0.03420489245828469
359,-0.008230685269419792,-0.03281487623461637,-0.0331499269209659
360,-0.0070778685206512315,-0.032418236386224195,-0.03219132595166572
361,-0.006109169715458566,-0.03243286191441404,-0.031330328488886235
362,-0.005380981926706854,-0.032867540183711526,-0.030628183437989558
363,-0.004997954154529656,-0.03368541842778354,-0.03014330252623611
364,-0.004964059169549084,-0.03474085687823817,-0.029863287157760838
365,-0.005121462981959932,-0.03582057300431489,-0.029775452637659582
366,-0.005368185135677976,-0.03677177448452008,-0.029877390116282994
367,-0.005717131155616318,-0.03756728154627426,-0.030148499407478834
368,-0.0062465332665220235,-0.03822940331050227,-0.030611500989313173
369,-0.006951971910627433,-0.0386915868796601,-0.031281509789483616
370,-0.007759154985067682,-0.03894409110692375,-0.032117969994022354
371,-0.00857503479138824,-0.03901348259593509,-0.033061514563999035
372,-0.009313239353735504,-0.03889928447079495,-0.03402476227724982
373,-0.009925543675104866,-0.038708444470699106,-0.03494264789640482
374,-0.01042389961673114,-0.03860673161379694,-0.035811713555387176
375,-0.010934986075545364,-0.03879939023017402,-0.036664478759083075
376,-0.011449170085082404,-0.039343981354938884,-0.03753582335966001
377,-0.01191434837945804,-0.040149701532194736,-0.038428464542175765
378,-0.012275334147388121,-0.041091653447638085,-0.039296362889473496
379,-0.012603715700475974,-0.04217266404345749,-0.04011748774117603
380,-0.013049505179663478,-0.043494708345226014,-0.04095568682231635
381,-0.013725235322884,-0.04511500680235305,-0.04186000206535863
382,-0.014566977311507434,-0.04695917279533716,-0.0428602827077976
383,-0.015491061268409607,-0.04890264962012956,-0.0439719536642869
384,-0.016365847494899284,-0.05077237941838025,-0.04517431943333198
385,-0.017079882403380115,-0.052416864188242505,-0.04643659940920935
386,-0.017632179696791025,-0.05382690777917702,-0.0477091779190477
387,-0.018054241589430753,-0.05518193722140736,-0.048989979963139904
388,-0.018489531676191044,-0.05676165160192635,-0.050357301457176075
389,-0.01898220425720235,-0.05870113209476344,-0.05187258212407272
390,-0.01944674570186847,-0.060884302903216385,-0.053487803706787726
391,-0.019864145279196225,-0.06320455685767046,-0.05517082663027238
392,-0.02033040539719933,-0.065690606380565,-0.05693063853198482
393,-0.020785411962482944,-0.06825689326411155,-0.05873653035391653
394,-0.02130361434659638,-0.07096799490603314,-0.06059143390624323
395,-0.021983399152202866,-0.07386154740377171,-0.062479088303874386
396,-0.02285150024609742,-0.07688659731453851,-0.06441360719493397
397,-0.02379586007938938,-0.07977100684972592,-0.06635846411790047
398,-0.02464103354583648,-0.0822407649340234,-0.06825705776706806
399,-0.025310058321840943,-0.08417400562587367,-0.07006260968590645
400,-0.02584934576913683,-0.0856570024304365,-0.07178644403506071
401,-0.02618488996137278,-0.08674087914050783,-0.07343285162875243
402,-0.026198084801366848,-0.08741773391596296,-0.07498666832530408
403,-0.02600155845549982,-0.08780446003015459,-0.07648329857214516
404,-0.025604433628815575,-0.08786522661075269,-0.07792283702335837
405,-0.02496423924322901,-0.08759741109380895,-0.07931930198210975
406,-0.024053635858548503,-0.08707100641359812,-0.08067064233979863
407,-0.022938203716887647,-0.08651581409336698,-0.08199547788345314
408,-0.02162436346027717,-0.08606490582363815,-0.08327845375086244
409,-0.020063476930778718,-0.085740931422176,-0.0844876926726236
410,-0.018244894005778934,-0.08552090057562964,-0.08565960047081426
411,-0.016237818905535457,-0.08535471137131656,-0.08681108032767879
412,-0.014177227600824478,-0.0851493465495232,-0.08792122223654712
413,-0.012066647940862936,-0.08478910502534295,-0.08896897314179972
414,-0.009909893881317872,-0.0842722157507864,-0.08997075939511145
415,-0.007770670136253281,-0.08372415509700255,-0.09096975791808957
416,-0.005752608593459881,-0.08313603352222274,-0.09197383583871198
417,-0.00391153026695314,-0.08232689137197258,-0.09297614985899398
418,-0.0024080649950028,-0.08133702146188371,-0.09398463863671555
419,-0.0014376199478835677,-0.08033106894363742,-0.0950368047390647
420,-0.001047178769921724,-0.07949121976879579,-0.09607878872487852
421,-0.001243670783969166,-0.07904199622398589,-0.09708128827159782
422,-0.0020099291436016867,-0.07927328135642873,-0.09809351230612684
423,-0.0033482101763472705,-0.08039890267987915,-0.09916266704104966
424,-0.005274153445697484,-0.08248394855913542,-0.10030043431838968
