sample_index,timestamp_ms,ch2_mv,packet_index
58289,116578.000,-9.966470,2331
58290,116580.000,-10.029603,2331
58291,116582.000,-10.420944,2331
58292,116584.000,-11.026718,2331
58293,116586.000,-11.383678,2331
58294,116588.000,-11.425687,2331
58295,116590.000,-11.244251,2331
58296,116592.000,-10.851718,2331
58297,116594.000,-10.414172,2331
58298,116596.000,-10.112811,2331
58299,116598.000,-9.934522,2331
58300,116600.000,-10.866786,2332
58301,116602.000,0.000000,2332
58302,116604.000,0.000000,2332
58303,116606.000,0.000000,2332
58304,116608.000,0.000000,2332
58305,116610.000,346.799844,2332
58306,116612.000,0.000000,2332
58307,116614.000,0.000000,2332
58308,116616.000,0.000000,2332
58309,116618.000,0.000000,2332
58310,116620.000,0.000000,2332
58311,116622.000,0.000334,2332
58312,116624.000,-33.418850,2332
58313,116626.000,0.000000,2332
58314,116628.000,0.000000,2332
58315,116630.000,0.000000,2332
58316,116632.000,0.000000,2332
58317,116634.000,0.000000,2332
58318,116636.000,55.822427,2332
58319,116638.000,0.000000,2332
58320,116640.000,-10.054303,2332
58321,116642.000,-10.454418,2332
58322,116644.000,-11.055423,2332
58323,116646.000,-11.408855,2332
58324,116648.000,-11.473514,2332
58325,116650.000,-11.280776,2333
58326,116652.000,-10.857440,2333
58327,116654.000,-10.390664,2333
58328,116656.000,-10.090686,2333
58329,116658.000,-9.917403,2333
58330,116660.000,-9.990693,2333
58331,116662.000,-10.391094,2333
58332,116664.000,-10.990669,2333
58333,116666.000,-11.349012,2333
58334,116668.000,-11.393119,2333
58335,116670.000,-11.222745,2333
58336,116672.000,-10.832692,2333
58337,116674.000,-10.390474,2333
58338,116676.000,-10.096837,2333
58339,116678.000,-9.937478,2333
58340,116680.000,-10.021116,2333
58341,116682.000,-10.427572,2333
58342,116684.000,-11.037160,2333
58343,116686.000,-11.396505,2333
58344,116688.000,-11.451675,2333
58345,116690.000,-11.272050,2333
58346,116692.000,-10.857488,2333
58347,116694.000,-10.408975,2333
58348,116696.000,-10.114528,2333
58349,116698.000,-9.946777,2333
58350,116700.000,-10.028316,2334
58351,116702.000,-10.437490,2334
58352,116704.000,-11.037113,2334
58353,116706.000,-11.389400,2334
58354,116708.000,-11.434986,2334
58355,116710.000,-11.250116,2334
58356,116712.000,-10.844900,2334
58357,116714.000,-10.414697,2334
58358,116716.000,-10.124637,2334
58359,116718.000,-9.956266,2334
58360,116720.000,-10.036565,2334
58361,116722.000,-10.447265,2334
58362,116724.000,-11.043884,2334
58363,116726.000,-11.382772,2334
58364,116728.000,-11.404945,2334
58365,116730.000,-11.211206,2334
58366,116732.000,-10.806037,2334
58367,116734.000,-10.378457,2334
58368,116736.000,-10.080196,2334
58369,116738.000,-9.911920,2334
58370,116740.000,-9.998990,2334
58371,116742.000,-10.413600,2334
58372,116744.000,-11.015846,2334
58373,116746.000,-11.375095,2334
58374,116748.000,-11.459495,2334
58375,116750.000,-11.316921,2335
58376,116752.000,-10.993482,2335
58377,116754.000,-10.449649,2335
58378,116756.000,-10.055400,2335
58379,116758.000,-9.898139,2335
58380,116760.000,-9.991122,2335
58381,116762.000,-10.419036,2335
58382,116764.000,-11.025287,2335
58383,116766.000,-11.375429,2335
58384,116768.000,-11.400987,2335
58385,116770.000,-11.209346,2335
58386,116772.000,-10.815669,2335
58387,116774.000,-10.399486,2335
